workerid,proliferate.condition,internal_node_id,item_type,response,rt,slider_start,stimulus,time_elapsed,trial_index,trial_type,vignette,error
648,Jordan,0.0-0.0,,0,3698,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",3704,0,html-button-response,,
648,Jordan,0.0-1.0,,0,1943,,"<p> In this experiment, you will read 4 short stories and answer questions about them. </p>",5650,1,html-button-response,,
648,Jordan,0.0-2.0-0.0,honest,0,15449,,"<p>Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet. Becky says that she thinks it is morally wrong to download music illegally from the Internet, but that she sometimes does it anyway. Shortly after their conversation, Becky goes online, and downloads music illegally.</p><br>",21102,2,html-button-response,music,
648,Jordan,0.0-3.0-0.0,hypocritical,80,5017,50,<p>How <b>hypocritical</b> do you think Becky is?</p><br>,26123,3,html-slider-response,music,
648,Jordan,0.0-3.0-0.1,trustworthy,54,4382,50,<p>How <b>trustworthy</b> do you think Becky is?</p><br>,30510,4,html-slider-response,music,
648,Jordan,0.0-3.0-0.2,good,64,3600,50,<p>How <b>good a person</b> do you think Becky is?</p><br>,34112,5,html-slider-response,music,
648,Jordan,0.0-3.0-0.3,honest,41,3646,50,<p>How <b>honest</b> do you think Becky is?</p><br>,37761,6,html-slider-response,music,
648,Jordan,0.0-3.0-0.4,like,58,3143,50,<p>How much do you <b>like</b> Becky?</p><br>,40906,7,html-slider-response,music,
648,Jordan,0.0-4.0-0.0,honest,0,17910,,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Kevin says that he thinks it is morally wrong to use a lot of paper by printing documents single-sided, but that he sometimes does it anyway. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",58821,8,html-button-response,printing,
648,Jordan,0.0-5.0-0.0,trustworthy,28,3242,50,<p>How <b>trustworthy</b> do you think Kevin is?</p><br>,62069,9,html-slider-response,printing,
648,Jordan,0.0-5.0-0.1,honest,29,3600,50,<p>How <b>honest</b> do you think Kevin is?<p><br>,65671,10,html-slider-response,printing,
648,Jordan,0.0-5.0-0.2,hypocritical,91,4086,50,<p>How <b>hypocritical</b> do you think Kevin is?</p><br>,69761,11,html-slider-response,printing,
648,Jordan,0.0-5.0-0.3,good,56,3164,50,<p>How <b>good a person</b> do you think Kevin is?</p><br>,72928,12,html-slider-response,printing,
648,Jordan,0.0-5.0-0.4,like,50,3062,50,<p>How much do you <b>like</b> Kevin?</p><br>,75993,13,html-slider-response,printing,
648,Jordan,0.0-6.0-0.0,honest,0,14632,,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Bruce says that he thinks it is morally wrong to ignore your mother's phone calls, but that he sometimes does it anyway. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",90627,14,html-button-response,phone,
648,Jordan,0.0-7.0-0.0,hypocritical,97,7273,50,<p>How <b>hypocritical</b> do you think Bruce is?</p><br>,97902,15,html-slider-response,phone,
648,Jordan,0.0-7.0-0.1,trustworthy,45,5344,50,<p>How <b>trustworthy</b> do you think Bruce is?</p><br>,103249,16,html-slider-response,phone,
648,Jordan,0.0-7.0-0.2,honest,46,5678,50,<p>How <b>honest</b> do you think Bruce is?</p><br>,108929,17,html-slider-response,phone,
648,Jordan,0.0-7.0-0.3,like,5,4429,50,<p>How much do you <b>like</b> Bruce?</p><br>,113361,18,html-slider-response,phone,
648,Jordan,0.0-7.0-0.4,good,40,4606,50,<p>How <b>good a person</b> do you think Bruce is?</p><br>,117969,19,html-slider-response,phone,
648,Jordan,0.0-8.0-0.0,honest,0,8618,,"<p>Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty. Jennifer says that she thinks it is morally wrong to try to get out of jury duty, but that she sometimes does it anyway. Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.</p><br>",126590,20,html-button-response,jury,
648,Jordan,0.0-9.0-0.0,good,67,3418,50,<p>How <b>good a person</b> do you think Jennifer is?</p><br>,130010,21,html-slider-response,jury,
648,Jordan,0.0-9.0-0.1,honest,58,7616,50,<p>How <b>honest</b> do you think Jennifer is?</p><br>,137628,22,html-slider-response,jury,
648,Jordan,0.0-9.0-0.2,trustworthy,30,5120,50,<p>How <b>trustworthy</b> do you think Jennifer is?</p><br>,142751,23,html-slider-response,jury,
648,Jordan,0.0-9.0-0.3,hypocritical,44,3901,50,<p>How <b>hypocritical</b> do you think Jennifer is?</p><br>,146656,24,html-slider-response,jury,
648,Jordan,0.0-9.0-0.4,like,54,3654,50,<p>How much do you <b>like</b> Jennifer?</p><br>,150311,25,html-slider-response,jury,
648,Jordan,0.0-10.0,,0,3918,,<h1>End of the experiment.</h1><h2>Many thanks for participating!</h2><p>This experiment was about how people judge hypocrites and hypocrites who admit to being hypocritical compared to people who are not hypocritical.</p><h1>Press continue to be redirected to Prolific. </h1>,154231,26,html-button-response,,
379,Jordan,0.0-0.0,,0,2242,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",2247,0,html-button-response,,
379,Jordan,0.0-1.0,,0,2928,,"<p> In this experiment, you will read 4 short stories and answer questions about them. </p>",5176,1,html-button-response,,
379,Jordan,0.0-2.0-0.0,transgressor,0,4400,,"<p>Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty. Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.</p><br>",9577,2,html-button-response,jury,
379,Jordan,0.0-3.0-0.0,honest,36,32250,50,<p>How <b>honest</b> do you think Jennifer is?</p><br>,41828,3,html-slider-response,jury,
379,Jordan,0.0-3.0-0.1,trustworthy,55,3065,50,<p>How <b>trustworthy</b> do you think Jennifer is?</p><br>,44896,4,html-slider-response,jury,
379,Jordan,0.0-3.0-0.2,like,60,3733,50,<p>How much do you <b>like</b> Jennifer?</p><br>,48630,5,html-slider-response,jury,
379,Jordan,0.0-3.0-0.3,hypocritical,71,3901,50,<p>How <b>hypocritical</b> do you think Jennifer is?</p><br>,52531,6,html-slider-response,jury,
379,Jordan,0.0-3.0-0.4,good,56,5940,50,<p>How <b>good a person</b> do you think Jennifer is?</p><br>,58471,7,html-slider-response,jury,
379,Jordan,0.0-4.0-0.0,transgressor,0,14923,,"<p>Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet. Shortly after their conversation, Becky goes online, and downloads music illegally.</p><br>",73395,8,html-button-response,music,
379,Jordan,0.0-5.0-0.0,trustworthy,37,4380,50,<p>How <b>trustworthy</b> do you think Becky is?</p><br>,77776,9,html-slider-response,music,
379,Jordan,0.0-5.0-0.1,hypocritical,78,2999,50,<p>How <b>hypocritical</b> do you think Becky is?</p><br>,80776,10,html-slider-response,music,
379,Jordan,0.0-5.0-0.2,good,50,3320,50,<p>How <b>good a person</b> do you think Becky is?</p><br>,84097,11,html-slider-response,music,
379,Jordan,0.0-5.0-0.3,honest,25,3500,50,<p>How <b>honest</b> do you think Becky is?</p><br>,87598,12,html-slider-response,music,
379,Jordan,0.0-5.0-0.4,like,56,2840,50,<p>How much do you <b>like</b> Becky?</p><br>,90438,13,html-slider-response,music,
379,Jordan,0.0-6.0-0.0,transgressor,0,36428,,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",126867,14,html-button-response,printing,
379,Jordan,0.0-7.0-0.0,trustworthy,62,3179,50,<p>How <b>trustworthy</b> do you think Kevin is?</p><br>,130047,15,html-slider-response,printing,
379,Jordan,0.0-7.0-0.1,like,33,2360,50,<p>How much do you <b>like</b> Kevin?</p><br>,132407,16,html-slider-response,printing,
379,Jordan,0.0-7.0-0.2,good,64,1819,50,<p>How <b>good a person</b> do you think Kevin is?</p><br>,134227,17,html-slider-response,printing,
379,Jordan,0.0-7.0-0.3,hypocritical,71,1619,50,<p>How <b>hypocritical</b> do you think Kevin is?</p><br>,135847,18,html-slider-response,printing,
379,Jordan,0.0-7.0-0.4,honest,67,2201,50,<p>How <b>honest</b> do you think Kevin is?<p><br>,138049,19,html-slider-response,printing,
379,Jordan,0.0-8.0-0.0,transgressor,0,5282,,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",143332,20,html-button-response,phone,
379,Jordan,0.0-9.0-0.0,trustworthy,24,1830,50,<p>How <b>trustworthy</b> do you think Bruce is?</p><br>,145162,21,html-slider-response,phone,
379,Jordan,0.0-9.0-0.1,like,0,2410,50,<p>How much do you <b>like</b> Bruce?</p><br>,147572,22,html-slider-response,phone,
379,Jordan,0.0-9.0-0.2,hypocritical,95,2299,50,<p>How <b>hypocritical</b> do you think Bruce is?</p><br>,149872,23,html-slider-response,phone,
379,Jordan,0.0-9.0-0.3,honest,23,2040,50,<p>How <b>honest</b> do you think Bruce is?</p><br>,151913,24,html-slider-response,phone,
379,Jordan,0.0-9.0-0.4,good,20,2119,50,<p>How <b>good a person</b> do you think Bruce is?</p><br>,154033,25,html-slider-response,phone,
379,Jordan,0.0-10.0,,0,1739,,<h1>End of the experiment.</h1><h2>Many thanks for participating!</h2><p>This experiment was about how people judge hypocrites and hypocrites who admit to being hypocritical compared to people who are not hypocritical.</p><h1>Press continue to be redirected to Prolific. </h1>,155773,26,html-button-response,,
315,Jordan,0.0-0.0,,0,9826,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",9828,0,html-button-response,,
315,Jordan,0.0-1.0,,0,1717,,"<p> In this experiment, you will read 4 short stories and answer questions about them. </p>",11547,1,html-button-response,,
315,Jordan,0.0-2.0-0.0,traditional,0,19519,,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Kevin says that he thinks it is morally wrong to use a lot of paper by printing documents single-sided. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",31066,2,html-button-response,printing,
315,Jordan,0.0-3.0-0.0,like,24,3969,50,<p>How much do you <b>like</b> Kevin?</p><br>,35037,3,html-slider-response,printing,
315,Jordan,0.0-3.0-0.1,honest,14,5793,50,<p>How <b>honest</b> do you think Kevin is?<p><br>,40831,4,html-slider-response,printing,
315,Jordan,0.0-3.0-0.2,good,40,2103,50,<p>How <b>good a person</b> do you think Kevin is?</p><br>,42934,5,html-slider-response,printing,
315,Jordan,0.0-3.0-0.3,trustworthy,43,1979,50,<p>How <b>trustworthy</b> do you think Kevin is?</p><br>,44914,6,html-slider-response,printing,
315,Jordan,0.0-3.0-0.4,hypocritical,81,3969,50,<p>How <b>hypocritical</b> do you think Kevin is?</p><br>,48884,7,html-slider-response,printing,
315,Jordan,0.0-4.0-0.0,traditional,0,13365,,"<p>Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet. Becky says that she thinks it is morally wrong to download music illegally from the Internet. Shortly after their conversation, Becky goes online, and downloads music illegally.</p><br>",62249,8,html-button-response,music,
315,Jordan,0.0-5.0-0.0,good,45,3369,50,<p>How <b>good a person</b> do you think Becky is?</p><br>,65618,9,html-slider-response,music,
315,Jordan,0.0-5.0-0.1,trustworthy,44,3086,50,<p>How <b>trustworthy</b> do you think Becky is?</p><br>,68705,10,html-slider-response,music,
315,Jordan,0.0-5.0-0.2,honest,56,7555,50,<p>How <b>honest</b> do you think Becky is?</p><br>,76262,11,html-slider-response,music,
315,Jordan,0.0-5.0-0.3,hypocritical,13,6691,50,<p>How <b>hypocritical</b> do you think Becky is?</p><br>,82954,12,html-slider-response,music,
315,Jordan,0.0-5.0-0.4,like,54,2026,50,<p>How much do you <b>like</b> Becky?</p><br>,84981,13,html-slider-response,music,
315,Jordan,0.0-6.0-0.0,traditional,0,26462,,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Bruce says that he thinks it is morally wrong to ignore your mother's phone calls. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",111444,14,html-button-response,phone,
315,Jordan,0.0-7.0-0.0,hypocritical,85,2600,50,<p>How <b>hypocritical</b> do you think Bruce is?</p><br>,114045,15,html-slider-response,phone,
315,Jordan,0.0-7.0-0.1,trustworthy,45,1885,50,<p>How <b>trustworthy</b> do you think Bruce is?</p><br>,115930,16,html-slider-response,phone,
315,Jordan,0.0-7.0-0.2,honest,36,2372,50,<p>How <b>honest</b> do you think Bruce is?</p><br>,118302,17,html-slider-response,phone,
315,Jordan,0.0-7.0-0.3,like,45,1729,50,<p>How much do you <b>like</b> Bruce?</p><br>,120031,18,html-slider-response,phone,
315,Jordan,0.0-7.0-0.4,good,45,2163,50,<p>How <b>good a person</b> do you think Bruce is?</p><br>,122194,19,html-slider-response,phone,
315,Jordan,0.0-8.0-0.0,traditional,0,22565,,"<p>Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty. Jennifer says that she thinks it is morally wrong to try to get out of jury duty. Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.</p>",144760,20,html-button-response,jury,
315,Jordan,0.0-9.0-0.0,honest,36,5050,50,<p>How <b>honest</b> do you think Jennifer is?</p><br>,149810,21,html-slider-response,jury,
315,Jordan,0.0-9.0-0.1,like,35,1869,50,<p>How much do you <b>like</b> Jennifer?</p><br>,151681,22,html-slider-response,jury,
315,Jordan,0.0-9.0-0.2,trustworthy,38,1640,50,<p>How <b>trustworthy</b> do you think Jennifer is?</p><br>,153323,23,html-slider-response,jury,
315,Jordan,0.0-9.0-0.3,good,42,1896,50,<p>How <b>good a person</b> do you think Jennifer is?</p><br>,155219,24,html-slider-response,jury,
315,Jordan,0.0-9.0-0.4,hypocritical,78,2907,50,<p>How <b>hypocritical</b> do you think Jennifer is?</p><br>,158126,25,html-slider-response,jury,
315,Jordan,0.0-10.0,,0,5264,,<h1>End of the experiment.</h1><h2>Many thanks for participating!</h2><p>This experiment was about how people judge hypocrites and hypocrites who admit to being hypocritical compared to people who are not hypocritical.</p><h1>Press continue to be redirected to Prolific. </h1>,163389,26,html-button-response,,
344,Jordan,0.0-0.0,,0,27182,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",27183,0,html-button-response,,
344,Jordan,0.0-1.0,,0,1463,,"<p> In this experiment, you will read 4 short stories and answer questions about them. </p>",28650,1,html-button-response,,
344,Jordan,0.0-2.0-0.0,honest,0,21330,,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Kevin says that he thinks it is morally wrong to use a lot of paper by printing documents single-sided, but that he sometimes does it anyway. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",49982,2,html-button-response,printing,
344,Jordan,0.0-3.0-0.0,hypocritical,69,6563,50,<p>How <b>hypocritical</b> do you think Kevin is?</p><br>,56550,3,html-slider-response,printing,
344,Jordan,0.0-3.0-0.1,trustworthy,34,4198,50,<p>How <b>trustworthy</b> do you think Kevin is?</p><br>,60749,4,html-slider-response,printing,
344,Jordan,0.0-3.0-0.2,honest,78,4380,50,<p>How <b>honest</b> do you think Kevin is?<p><br>,65133,5,html-slider-response,printing,
344,Jordan,0.0-3.0-0.3,like,43,4098,50,<p>How much do you <b>like</b> Kevin?</p><br>,69232,6,html-slider-response,printing,
344,Jordan,0.0-3.0-0.4,good,42,5714,50,<p>How <b>good a person</b> do you think Kevin is?</p><br>,74950,7,html-slider-response,printing,
344,Jordan,0.0-4.0-0.0,honest,0,10777,,"<p>Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet. Becky says that she thinks it is morally wrong to download music illegally from the Internet, but that she sometimes does it anyway. Shortly after their conversation, Becky goes online, and downloads music illegally.</p><br>",85732,8,html-button-response,music,
344,Jordan,0.0-5.0-0.0,trustworthy,39,2431,50,<p>How <b>trustworthy</b> do you think Becky is?</p><br>,88165,9,html-slider-response,music,
344,Jordan,0.0-5.0-0.1,like,37,3798,50,<p>How much do you <b>like</b> Becky?</p><br>,91966,10,html-slider-response,music,
344,Jordan,0.0-5.0-0.2,hypocritical,78,3464,50,<p>How <b>hypocritical</b> do you think Becky is?</p><br>,95432,11,html-slider-response,music,
344,Jordan,0.0-5.0-0.3,honest,71,3254,50,<p>How <b>honest</b> do you think Becky is?</p><br>,98689,12,html-slider-response,music,
344,Jordan,0.0-5.0-0.4,good,45,3043,50,<p>How <b>good a person</b> do you think Becky is?</p><br>,101733,13,html-slider-response,music,
344,Jordan,0.0-6.0-0.0,honest,0,11397,,"<p>Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty. Jennifer says that she thinks it is morally wrong to try to get out of jury duty, but that she sometimes does it anyway. Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.</p><br>",113132,14,html-button-response,jury,
344,Jordan,0.0-7.0-0.0,honest,58,3632,50,<p>How <b>honest</b> do you think Jennifer is?</p><br>,116765,15,html-slider-response,jury,
344,Jordan,0.0-7.0-0.1,like,49,3263,50,<p>How much do you <b>like</b> Jennifer?</p><br>,120031,16,html-slider-response,jury,
344,Jordan,0.0-7.0-0.2,good,50,2849,50,<p>How <b>good a person</b> do you think Jennifer is?</p><br>,122881,17,html-slider-response,jury,
344,Jordan,0.0-7.0-0.3,hypocritical,63,3681,50,<p>How <b>hypocritical</b> do you think Jennifer is?</p><br>,126565,18,html-slider-response,jury,
344,Jordan,0.0-7.0-0.4,trustworthy,45,2430,50,<p>How <b>trustworthy</b> do you think Jennifer is?</p><br>,128998,19,html-slider-response,jury,
344,Jordan,0.0-8.0-0.0,honest,0,10697,,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Bruce says that he thinks it is morally wrong to ignore your mother's phone calls, but that he sometimes does it anyway. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",139697,20,html-button-response,phone,
344,Jordan,0.0-9.0-0.0,honest,73,4150,50,<p>How <b>honest</b> do you think Bruce is?</p><br>,143848,21,html-slider-response,phone,
344,Jordan,0.0-9.0-0.1,trustworthy,51,1981,50,<p>How <b>trustworthy</b> do you think Bruce is?</p><br>,145831,22,html-slider-response,phone,
344,Jordan,0.0-9.0-0.2,hypocritical,65,2814,50,<p>How <b>hypocritical</b> do you think Bruce is?</p><br>,148648,23,html-slider-response,phone,
344,Jordan,0.0-9.0-0.3,good,47,2398,50,<p>How <b>good a person</b> do you think Bruce is?</p><br>,151048,24,html-slider-response,phone,
344,Jordan,0.0-9.0-0.4,like,30,4481,50,<p>How much do you <b>like</b> Bruce?</p><br>,155531,25,html-slider-response,phone,
344,Jordan,0.0-10.0,,0,4365,,<h1>End of the experiment.</h1><h2>Many thanks for participating!</h2><p>This experiment was about how people judge hypocrites and hypocrites who admit to being hypocritical compared to people who are not hypocritical.</p><h1>Press continue to be redirected to Prolific. </h1>,159898,26,html-button-response,,
401,Jordan,0.0-0.0,,0,33124,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",33125,0,html-button-response,,
401,Jordan,0.0-1.0,,0,4237,,"<p> In this experiment, you will read 4 short stories and answer questions about them. </p>",37364,1,html-button-response,,
401,Jordan,0.0-2.0-0.0,transgressor,0,73143,,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",110508,2,html-button-response,phone,
401,Jordan,0.0-3.0-0.0,trustworthy,31,11046,50,<p>How <b>trustworthy</b> do you think Bruce is?</p><br>,121554,3,html-slider-response,phone,
401,Jordan,0.0-3.0-0.1,honest,28,46696,50,<p>How <b>honest</b> do you think Bruce is?</p><br>,168250,4,html-slider-response,phone,
401,Jordan,0.0-3.0-0.2,hypocritical,71,2180,50,<p>How <b>hypocritical</b> do you think Bruce is?</p><br>,170432,5,html-slider-response,phone,
401,Jordan,0.0-3.0-0.3,good,36,3487,50,<p>How <b>good a person</b> do you think Bruce is?</p><br>,173920,6,html-slider-response,phone,
401,Jordan,0.0-3.0-0.4,like,43,2192,50,<p>How much do you <b>like</b> Bruce?</p><br>,176111,7,html-slider-response,phone,
401,Jordan,0.0-4.0-0.0,transgressor,0,18999,,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",195112,8,html-button-response,printing,
