workerid,condition,vignette,item_type,response,rt,stimulus,trial_index
16,transgressor,music,trustworthy,44,5467,<p>How <b>trustworthy</b> do you think Becky is?</p><br>,10
16,transgressor,music,hypocritical,44,2347,<p>How <b>hypocritical</b> do you think Becky is?</p><br>,11
16,transgressor,music,honest,48,2717,<p>How <b>honest</b> do you think Becky is?</p><br>,12
16,transgressor,music,like,48,2665,<p>How much do you <b>like</b> Becky?</p><br>,13
16,transgressor,phone,vignette,0,4832,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",14
16,transgressor,phone,trustworthy,48,2666,<p>How <b>trustworthy</b> do you think Bruce is?</p><br>,15
16,transgressor,phone,good,26,5333,<p>How <b>good a person</b> do you think Bruce is?</p><br>,16
16,transgressor,phone,hypocritical,48,2366,<p>How <b>hypocritical</b> do you think Bruce is?</p><br>,17
16,transgressor,phone,honest,40,3732,<p>How <b>honest</b> do you think Bruce is?</p><br>,18
16,transgressor,phone,like,27,2302,<p>How much do you <b>like</b> Bruce?</p><br>,19
16,transgressor,printing,vignette,0,8063,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",20
16,transgressor,printing,like,41,2099,<p>How much do you <b>like</b> Kevin?</p><br>,21
16,transgressor,printing,honest,47,2150,<p>How <b>honest</b> do you think Kevin is?<p><br>,22
16,transgressor,printing,good,33,4019,<p>How <b>good a person</b> do you think Kevin is?</p><br>,23
16,transgressor,printing,trustworthy,46,1666,<p>How <b>trustworthy</b> do you think Kevin is?</p><br>,24
16,transgressor,printing,hypocritical,49,2146,<p>How <b>hypocritical</b> do you think Kevin is?</p><br>,25
15,transgressor,printing,vignette,0,20425,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",2
15,transgressor,printing,hypocritical,12,9724,<p>How <b>hypocritical</b> do you think Kevin is?</p><br>,3
15,transgressor,printing,like,43,6940,<p>How much do you <b>like</b> Kevin?</p><br>,4
15,transgressor,printing,honest,50,5766,<p>How <b>honest</b> do you think Kevin is?<p><br>,5
15,transgressor,printing,trustworthy,53,6969,<p>How <b>trustworthy</b> do you think Kevin is?</p><br>,6
15,transgressor,printing,good,38,3238,<p>How <b>good a person</b> do you think Kevin is?</p><br>,7
15,transgressor,phone,vignette,0,10090,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",8
15,transgressor,phone,good,44,5386,<p>How <b>good a person</b> do you think Bruce is?</p><br>,9
15,transgressor,phone,trustworthy,45,3247,<p>How <b>trustworthy</b> do you think Bruce is?</p><br>,10
15,transgressor,phone,honest,53,3137,<p>How <b>honest</b> do you think Bruce is?</p><br>,11
15,transgressor,phone,hypocritical,16,5658,<p>How <b>hypocritical</b> do you think Bruce is?</p><br>,12
15,transgressor,phone,like,44,5303,<p>How much do you <b>like</b> Bruce?</p><br>,13
15,transgressor,music,vignette,0,50056,"<p>Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet. Shortly after their conversation, Becky goes online, and downloads music illegally.</p><br>",14
15,transgressor,music,hypocritical,11,4828,<p>How <b>hypocritical</b> do you think Becky is?</p><br>,15
15,transgressor,music,like,70,6588,<p>How much do you <b>like</b> Becky?</p><br>,16
15,transgressor,music,honest,45,4248,<p>How <b>honest</b> do you think Becky is?</p><br>,17
15,transgressor,music,trustworthy,56,3939,<p>How <b>trustworthy</b> do you think Becky is?</p><br>,18
15,transgressor,music,good,52,3000,<p>How <b>good a person</b> do you think Becky is?</p><br>,19
15,transgressor,jury,vignette,0,8226,"<p>Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty. Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.</p><br>",20
15,transgressor,jury,trustworthy,51,3776,<p>How <b>trustworthy</b> do you think Jennifer is?</p><br>,21
15,transgressor,jury,like,44,6446,<p>How much do you <b>like</b> Jennifer?</p><br>,22
15,transgressor,jury,honest,32,4293,<p>How <b>honest</b> do you think Jennifer is?</p><br>,23
15,transgressor,jury,good,52,11057,<p>How <b>good a person</b> do you think Jennifer is?</p><br>,24
15,transgressor,jury,hypocritical,45,7330,<p>How <b>hypocritical</b> do you think Jennifer is?</p><br>,25
