workerid,proliferate.condition,internal_node_id,item,item_type,response,rt,slider_start,stimulus,time_elapsed,trial_index,trial_type,error
106,critcher,0.0-4.0-0.11,nate-certain,moral,5,4218,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate felt certain in his decision?</p><br>,159193,16,html-slider-response,
106,critcher,0.0-4.0-0.12,nate-far,moral,5,15368,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>How far do you think Nate was from choosing the alternate course of action?</p><br>,174563,17,html-slider-response,
106,critcher,0.0-4.0-0.13,nate-principles,moral,7,6340,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate has good or bad moral principles?</p><br>,180905,18,html-slider-response,
106,critcher,0.0-4.0-0.14,nate-deep,moral,7,3692,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think deep down Nate has the moral principles and knowledge to do the right thing?</p><br>,184600,19,html-slider-response,
106,critcher,0.0-4.0-0.15,nate-standards,moral,7,2267,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate has good or bad moral standards?</p><br>,186868,20,html-slider-response,
106,critcher,0.0-4.0-0.16,nate-calm,moral,6,3400,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>To what extent do you think Nate remained calm and emotionally contained when making his decision?</p><br>,190271,21,html-slider-response,
106,critcher,0.0-4.0-0.17,nate-upset,moral,1,5247,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>To what extent do you think Nate became upset and acted without thinking?</p><br>,195521,22,html-slider-response,
106,critcher,0.0-5.0-0.0,,manipulation_check_justin,7,11268,4,<p>How quickly did Justin make his decision?</p><br>,206792,23,html-slider-response,
106,critcher,0.0-5.0-0.1,,manipulation_check_nate,1,2499,4,<p>How quickly did Nate make his decision?</p><br>,209293,24,html-slider-response,
106,critcher,0.0-6.0,,,0,5426,,<h1>End of the experiment.</h1><h2>Many thanks for participating!</h2><p>This experiment was about how whether someone makes a decision fast or slow influences people's judgements of the morality of their decisions.</p><h1>Press continue to be redirected to Prolific. </h1>,214723,25,html-button-response,
57,critcher,0.0-0.0,,,0,3016,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",3024,0,html-button-response,
57,critcher,0.0-1.0,,,0,8181,,"<p> In this experiment, you will read a story about two different individuals. You will then be asked to evaluate their moral character and personality. </p><p>Please read the following story carefully. </p>",11208,1,html-button-response,
57,critcher,0.0-2.0-0.0,,moral,0,38852,,"<p>Justin and Nate were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <p> Justin saw his decision as an easy one and was <i> able to decide quickly. He did not steal the money </i> and instead left the wallet with Customer Service.</p><p> In contrast, Nate saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p> ",50064,2,html-button-response,
57,critcher,0.0-3.0-0.0,,manipulation_check_justin,7,8372,4,<p>How quickly did Justin make his decision?</p><br>,58440,3,html-slider-response,
57,critcher,0.0-3.0-0.1,,manipulation_check_nate,1,2790,4,<p>How quickly did Nate make his decision?</p><br>,61232,4,html-slider-response,
57,critcher,0.0-4.0-0.0,justin-conflicted,moral,7,11136,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin felt conflicted when making his decision?</p><br>,72372,5,html-slider-response,
57,critcher,0.0-4.0-0.1,justin-reservations,moral,7,6000,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin had reservations when making his decision?</p><br>,78376,6,html-slider-response,
57,critcher,0.0-4.0-0.2,justin-certain,moral,1,6083,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin felt certain in his decision?</p><br>,84464,7,html-slider-response,
57,critcher,0.0-4.0-0.3,justin-far,moral,1,15093,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>How far do you think Justin was from choosing the alternate course of action?</p><br>,99560,8,html-slider-response,
57,critcher,0.0-4.0-0.4,justin-principles,moral,7,3692,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin has good or bad moral principles?</p><br>,103255,9,html-slider-response,
57,critcher,0.0-4.0-0.5,justin-deep,moral,7,6270,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think deep down Justin has the moral principles and knowledge to do the right thing?</p><br>,109528,10,html-slider-response,
57,critcher,0.0-4.0-0.6,justin-standards,moral,7,4702,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin has good or bad moral standards?</p><br>,114231,11,html-slider-response,
57,critcher,0.0-4.0-0.7,justin-calm,moral,7,8495,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>To what extent do you think Justin remained calm and emotionally contained when making his decision?</p><br>,122728,12,html-slider-response,
57,critcher,0.0-4.0-0.8,justin-upset,moral,1,5469,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>To what extent do you think Justin became upset and acted without thinking?</p><br>,128200,13,html-slider-response,
57,critcher,0.0-4.0-0.9,nate-conflicted,moral,1,4654,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate felt conflicted when making his decision?</p><br>,132857,14,html-slider-response,
57,critcher,0.0-4.0-0.10,nate-reservations,moral,7,4189,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate had reservations when making his decision?</p><br>,137048,15,html-slider-response,
57,critcher,0.0-4.0-0.11,nate-certain,moral,7,5413,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate felt certain in his decision?</p><br>,142464,16,html-slider-response,
57,critcher,0.0-4.0-0.12,nate-far,moral,7,8703,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>How far do you think Nate was from choosing the alternate course of action?</p><br>,151168,17,html-slider-response,
57,critcher,0.0-4.0-0.13,nate-principles,moral,4,9023,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate has good or bad moral principles?</p><br>,160192,18,html-slider-response,
57,critcher,0.0-4.0-0.14,nate-deep,moral,5,6946,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think deep down Nate has the moral principles and knowledge to do the right thing?</p><br>,167139,19,html-slider-response,
57,critcher,0.0-4.0-0.15,nate-standards,moral,5,4890,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate has good or bad moral standards?</p><br>,172032,20,html-slider-response,
57,critcher,0.0-4.0-0.16,nate-calm,moral,1,6864,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>To what extent do you think Nate remained calm and emotionally contained when making his decision?</p><br>,178897,21,html-slider-response,
57,critcher,0.0-4.0-0.17,nate-upset,moral,1,6698,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>To what extent do you think Nate became upset and acted without thinking?</p><br>,185600,22,html-slider-response,
57,critcher,0.0-5.0-0.0,,manipulation_check_justin,7,3582,4,<p>How quickly did Justin make his decision?</p><br>,189184,23,html-slider-response,
57,critcher,0.0-5.0-0.1,,manipulation_check_nate,1,2349,4,<p>How quickly did Nate make his decision?</p><br>,191536,24,html-slider-response,
57,critcher,0.0-6.0,,,0,8062,,<h1>End of the experiment.</h1><h2>Many thanks for participating!</h2><p>This experiment was about how whether someone makes a decision fast or slow influences people's judgements of the morality of their decisions.</p><h1>Press continue to be redirected to Prolific. </h1>,199600,25,html-button-response,
127,critcher,0.0-0.0,,,0,9438,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",9444,0,html-button-response,
127,critcher,0.0-1.0,,,0,8490,,"<p> In this experiment, you will read a story about two different individuals. You will then be asked to evaluate their moral character and personality. </p><p>Please read the following story carefully. </p>",17940,1,html-button-response,
127,critcher,0.0-2.0-0.0,,moral,0,56757,,"<p>Justin and Nate were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <p> Justin saw his decision as an easy one and was <i> able to decide quickly. He did not steal the money </i> and instead left the wallet with Customer Service.</p><p> In contrast, Nate saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p> ",74704,2,html-button-response,
127,critcher,0.0-3.0-0.0,,manipulation_check_justin,7,9657,4,<p>How quickly did Justin make his decision?</p><br>,84367,3,html-slider-response,
127,critcher,0.0-3.0-0.1,,manipulation_check_nate,1,2907,4,<p>How quickly did Nate make his decision?</p><br>,87278,4,html-slider-response,
127,critcher,0.0-4.0-0.0,justin-conflicted,moral,6,16341,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin felt conflicted when making his decision?</p><br>,103622,5,html-slider-response,
127,critcher,0.0-4.0-0.1,justin-reservations,moral,2,11408,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin had reservations when making his decision?</p><br>,115035,6,html-slider-response,
127,critcher,0.0-4.0-0.2,justin-certain,moral,2,14503,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin felt certain in his decision?</p><br>,129540,7,html-slider-response,
127,critcher,0.0-4.0-0.3,justin-far,moral,5,34355,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>How far do you think Justin was from choosing the alternate course of action?</p><br>,163898,8,html-slider-response,
127,critcher,0.0-4.0-0.4,justin-principles,moral,5,8354,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin has good or bad moral principles?</p><br>,172256,9,html-slider-response,
127,critcher,0.0-4.0-0.5,justin-deep,moral,6,9250,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think deep down Justin has the moral principles and knowledge to do the right thing?</p><br>,181509,10,html-slider-response,
127,critcher,0.0-4.0-0.6,justin-standards,moral,6,5419,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin has good or bad moral standards?</p><br>,186931,11,html-slider-response,
127,critcher,0.0-4.0-0.7,justin-calm,moral,7,18643,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>To what extent do you think Justin remained calm and emotionally contained when making his decision?</p><br>,205577,12,html-slider-response,
127,critcher,0.0-4.0-0.8,justin-upset,moral,5,9287,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>To what extent do you think Justin became upset and acted without thinking?</p><br>,214867,13,html-slider-response,
127,critcher,0.0-4.0-0.9,nate-conflicted,moral,2,8677,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate felt conflicted when making his decision?</p><br>,223547,14,html-slider-response,
127,critcher,0.0-4.0-0.10,nate-reservations,moral,6,11792,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate had reservations when making his decision?</p><br>,235341,15,html-slider-response,
127,critcher,0.0-4.0-0.11,nate-certain,moral,3,8444,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate felt certain in his decision?</p><br>,243787,16,html-slider-response,
127,critcher,0.0-4.0-0.12,nate-far,moral,6,9863,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>How far do you think Nate was from choosing the alternate course of action?</p><br>,253653,17,html-slider-response,
127,critcher,0.0-4.0-0.13,nate-principles,moral,3,50439,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate has good or bad moral principles?</p><br>,304096,18,html-slider-response,
127,critcher,0.0-4.0-0.14,nate-deep,moral,6,5861,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think deep down Nate has the moral principles and knowledge to do the right thing?</p><br>,309961,19,html-slider-response,
127,critcher,0.0-4.0-0.15,nate-standards,moral,5,5146,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate has good or bad moral standards?</p><br>,315108,20,html-slider-response,
127,critcher,0.0-4.0-0.16,nate-calm,moral,2,8328,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>To what extent do you think Nate remained calm and emotionally contained when making his decision?</p><br>,323440,21,html-slider-response,
127,critcher,0.0-4.0-0.17,nate-upset,moral,1,7507,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>To what extent do you think Nate became upset and acted without thinking?</p><br>,330950,22,html-slider-response,
127,critcher,0.0-5.0-0.0,,manipulation_check_justin,7,4841,4,<p>How quickly did Justin make his decision?</p><br>,335794,23,html-slider-response,
127,critcher,0.0-5.0-0.1,,manipulation_check_nate,1,4212,4,<p>How quickly did Nate make his decision?</p><br>,340010,24,html-slider-response,
127,critcher,0.0-6.0,,,0,6820,,<h1>End of the experiment.</h1><h2>Many thanks for participating!</h2><p>This experiment was about how whether someone makes a decision fast or slow influences people's judgements of the morality of their decisions.</p><h1>Press continue to be redirected to Prolific. </h1>,346836,25,html-button-response,
103,critcher,0.0-0.0,,,0,13920,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",13922,0,html-button-response,
103,critcher,0.0-1.0,,,0,6633,,"<p> In this experiment, you will read a story about two different individuals. You will then be asked to evaluate their moral character and personality. </p><p>Please read the following story carefully. </p>",20556,1,html-button-response,
103,critcher,0.0-2.0-0.0,,moral,0,69493,,"<p>Justin and Nate were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <p> Justin saw his decision as an easy one and was <i> able to decide quickly. He did not steal the money </i> and instead left the wallet with Customer Service.</p><p> In contrast, Nate saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p> ",90050,2,html-button-response,
103,critcher,0.0-3.0-0.0,,manipulation_check_justin,7,6838,4,<p>How quickly did Justin make his decision?</p><br>,96890,3,html-slider-response,
103,critcher,0.0-3.0-0.1,,manipulation_check_nate,1,3772,4,<p>How quickly did Nate make his decision?</p><br>,100664,4,html-slider-response,
103,critcher,0.0-4.0-0.0,justin-conflicted,moral,7,8468,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin felt conflicted when making his decision?</p><br>,109133,5,html-slider-response,
103,critcher,0.0-4.0-0.1,justin-reservations,moral,2,9800,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin had reservations when making his decision?</p><br>,118934,6,html-slider-response,
103,critcher,0.0-4.0-0.2,justin-certain,moral,1,7125,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin felt certain in his decision?</p><br>,126060,7,html-slider-response,
103,critcher,0.0-4.0-0.3,justin-far,moral,2,19477,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>How far do you think Justin was from choosing the alternate course of action?</p><br>,145538,8,html-slider-response,
103,critcher,0.0-4.0-0.4,justin-principles,moral,7,6581,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin has good or bad moral principles?</p><br>,152120,9,html-slider-response,
103,critcher,0.0-4.0-0.5,justin-deep,moral,7,23695,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think deep down Justin has the moral principles and knowledge to do the right thing?</p><br>,175816,10,html-slider-response,
103,critcher,0.0-4.0-0.6,justin-standards,moral,7,5666,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin has good or bad moral standards?</p><br>,181483,11,html-slider-response,
103,critcher,0.0-4.0-0.7,justin-calm,moral,6,7392,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>To what extent do you think Justin remained calm and emotionally contained when making his decision?</p><br>,188876,12,html-slider-response,
103,critcher,0.0-4.0-0.8,justin-upset,moral,1,7102,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>To what extent do you think Justin became upset and acted without thinking?</p><br>,195979,13,html-slider-response,
103,critcher,0.0-4.0-0.9,nate-conflicted,moral,1,4669,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate felt conflicted when making his decision?</p><br>,200649,14,html-slider-response,
103,critcher,0.0-4.0-0.10,nate-reservations,moral,7,17218,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate had reservations when making his decision?</p><br>,217868,15,html-slider-response,
103,critcher,0.0-4.0-0.11,nate-certain,moral,5,14424,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate felt certain in his decision?</p><br>,232293,16,html-slider-response,
103,critcher,0.0-4.0-0.12,nate-far,moral,6,22453,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>How far do you think Nate was from choosing the alternate course of action?</p><br>,254747,17,html-slider-response,
103,critcher,0.0-4.0-0.13,nate-principles,moral,5,7432,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate has good or bad moral principles?</p><br>,262180,18,html-slider-response,
103,critcher,0.0-4.0-0.14,nate-deep,moral,5,5489,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think deep down Nate has the moral principles and knowledge to do the right thing?</p><br>,267670,19,html-slider-response,
103,critcher,0.0-4.0-0.15,nate-standards,moral,5,6634,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate has good or bad moral standards?</p><br>,274305,20,html-slider-response,
103,critcher,0.0-4.0-0.16,nate-calm,moral,1,5978,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>To what extent do you think Nate remained calm and emotionally contained when making his decision?</p><br>,280284,21,html-slider-response,
103,critcher,0.0-4.0-0.17,nate-upset,moral,1,14427,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>To what extent do you think Nate became upset and acted without thinking?</p><br>,294712,22,html-slider-response,
103,critcher,0.0-5.0-0.0,,manipulation_check_justin,7,5996,4,<p>How quickly did Justin make his decision?</p><br>,300709,23,html-slider-response,
103,critcher,0.0-5.0-0.1,,manipulation_check_nate,1,2594,4,<p>How quickly did Nate make his decision?</p><br>,303304,24,html-slider-response,
103,critcher,0.0-6.0,,,0,4156,,<h1>End of the experiment.</h1><h2>Many thanks for participating!</h2><p>This experiment was about how whether someone makes a decision fast or slow influences people's judgements of the morality of their decisions.</p><h1>Press continue to be redirected to Prolific. </h1>,307461,25,html-button-response,
99,critcher,0.0-0.0,,,0,5717,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",5729,0,html-button-response,
99,critcher,0.0-1.0,,,0,1717,,"<p> In this experiment, you will read a story about two different individuals. You will then be asked to evaluate their moral character and personality. </p><p>Please read the following story carefully. </p>",7446,1,html-button-response,
99,critcher,0.0-2.0-0.0,,moral,0,36388,,"<p>Justin and Nate were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <p> Justin saw his decision as an easy one and was <i> able to decide quickly. He did not steal the money </i> and instead left the wallet with Customer Service.</p><p> In contrast, Nate saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p> ",43837,2,html-button-response,
99,critcher,0.0-3.0-0.0,,manipulation_check_justin,6,3664,4,<p>How quickly did Justin make his decision?</p><br>,47505,3,html-slider-response,
99,critcher,0.0-3.0-0.1,,manipulation_check_nate,2,3688,4,<p>How quickly did Nate make his decision?</p><br>,51195,4,html-slider-response,
99,critcher,0.0-4.0-0.0,justin-conflicted,moral,5,5248,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin felt conflicted when making his decision?</p><br>,56445,5,html-slider-response,
99,critcher,0.0-4.0-0.1,justin-reservations,moral,6,2594,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin had reservations when making his decision?</p><br>,59040,6,html-slider-response,
99,critcher,0.0-4.0-0.2,justin-certain,moral,5,3290,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin felt certain in his decision?</p><br>,62332,7,html-slider-response,
99,critcher,0.0-4.0-0.3,justin-far,moral,2,4504,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>How far do you think Justin was from choosing the alternate course of action?</p><br>,66838,8,html-slider-response,
99,critcher,0.0-4.0-0.4,justin-principles,moral,5,3728,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin has good or bad moral principles?</p><br>,70568,9,html-slider-response,
99,critcher,0.0-4.0-0.5,justin-deep,moral,5,2699,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think deep down Justin has the moral principles and knowledge to do the right thing?</p><br>,73268,10,html-slider-response,
99,critcher,0.0-4.0-0.6,justin-standards,moral,3,2322,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin has good or bad moral standards?</p><br>,75593,11,html-slider-response,
99,critcher,0.0-4.0-0.7,justin-calm,moral,4,2042,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>To what extent do you think Justin remained calm and emotionally contained when making his decision?</p><br>,77637,12,html-slider-response,
99,critcher,0.0-4.0-0.8,justin-upset,moral,5,21915,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>To what extent do you think Justin became upset and acted without thinking?</p><br>,99555,13,html-slider-response,
99,critcher,0.0-4.0-0.9,nate-conflicted,moral,5,3531,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate felt conflicted when making his decision?</p><br>,103087,14,html-slider-response,
