workerid,type,question,response,rt,stimulus,trial_index
38,FLquiz,interest,Rise,78812,NA,19
38,FLquiz,mortgage,True,78812,NA,19
38,FLquiz,inflation,Less,78812,NA,19
38,FLquiz,savingsAccount,More than $102,78812,NA,19
49,finance term,pre-rated stocks,2,13273,<p>pre-rated stocks</p><br>,4
49,finance term,fixed-rate deduction,3,8657,<p>fixed-rate deduction</p><br>,5
49,finance term,annualized credit,3,6276,<p>annualized credit</p><br>,6
49,finance term,tax bracket,6,5465,<p>tax bracket</p><br>,7
49,finance term,fixed-rate mortgage,5,10840,<p>fixed-rate mortgage</p><br>,8
49,finance term,home equity,2,6502,<p>home equity</p><br>,9
49,finance term,revolving credit,2,5351,<p>revolving credit</p><br>,10
49,finance term,vesting,1,4989,<p>vesting</p><br>,11
49,finance term,retirement,6,5780,<p>retirement</p><br>,12
49,finance term,stock options,2,10297,<p>stock options</p><br>,13
49,finance term,inflation,5,4748,<p>inflation</p><br>,14
49,finance term,private equity fund,2,5687,<p>private equity fund</p><br>,15
49,finance term,interest rate,5,3958,<p>interest rate</p><br>,16
49,finance term,Roth IRA,5,4585,<p>Roth IRA</p><br>,17
49,finance term,whole life insurance,1,5535,<p>whole life insurance</p><br>,18
49,self-rating,generalKnowledge,3,7510,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
49,self-rating,compareAmerican,3,10303,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
49,FLquiz,stocks,Don't know,58113,NA,19
49,FLquiz,interest,Don't know,58113,NA,19
49,FLquiz,mortgage,Don't know,58113,NA,19
49,FLquiz,inflation,Less,58113,NA,19
49,FLquiz,savingsAccount,More than $102,58113,NA,19
