workerid,type,question,response,rt,stimulus,trial_index
157,finance term,whole life insurance,6,2319,<p>whole life insurance</p><br>,18
157,self-rating,generalKnowledge,5,9909,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
157,self-rating,compareAmerican,7,6616,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
157,FLquiz,stocks,False,72968,NA,19
157,FLquiz,interest,Fall,72968,NA,19
157,FLquiz,mortgage,True,72968,NA,19
157,FLquiz,inflation,Less,72968,NA,19
157,FLquiz,savingsAccount,More than $102,72968,NA,19
158,finance term,pre-rated stocks,2,10088,<p>pre-rated stocks</p><br>,4
158,finance term,fixed-rate deduction,6,6414,<p>fixed-rate deduction</p><br>,5
158,finance term,annualized credit,5,10430,<p>annualized credit</p><br>,6
158,finance term,tax bracket,7,6352,<p>tax bracket</p><br>,7
158,finance term,fixed-rate mortgage,4,4184,<p>fixed-rate mortgage</p><br>,8
158,finance term,home equity,5,4170,<p>home equity</p><br>,9
158,finance term,revolving credit,6,3334,<p>revolving credit</p><br>,10
158,finance term,vesting,3,4456,<p>vesting</p><br>,11
158,finance term,retirement,6,2821,<p>retirement</p><br>,12
158,finance term,stock options,5,5006,<p>stock options</p><br>,13
158,finance term,inflation,6,3413,<p>inflation</p><br>,14
158,finance term,private equity fund,6,6590,<p>private equity fund</p><br>,15
158,finance term,interest rate,6,2468,<p>interest rate</p><br>,16
158,finance term,Roth IRA,6,10767,<p>Roth IRA</p><br>,17
158,finance term,whole life insurance,6,13082,<p>whole life insurance</p><br>,18
158,self-rating,generalKnowledge,6,8522,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
158,self-rating,compareAmerican,6,32728,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
158,FLquiz,stocks,Don't know,86186,NA,19
158,FLquiz,interest,Rise,86186,NA,19
158,FLquiz,mortgage,False,86186,NA,19
158,FLquiz,inflation,Less,86186,NA,19
158,FLquiz,savingsAccount,More than $102,86186,NA,19
159,finance term,pre-rated stocks,2,6161,<p>pre-rated stocks</p><br>,2
159,finance term,fixed-rate deduction,1,4404,<p>fixed-rate deduction</p><br>,3
159,finance term,annualized credit,5,3556,<p>annualized credit</p><br>,4
159,finance term,tax bracket,3,2862,<p>tax bracket</p><br>,5
159,finance term,fixed-rate mortgage,5,4424,<p>fixed-rate mortgage</p><br>,6
159,finance term,home equity,4,3234,<p>home equity</p><br>,7
159,finance term,revolving credit,6,4235,<p>revolving credit</p><br>,8
159,finance term,vesting,3,14419,<p>vesting</p><br>,9
159,finance term,retirement,7,3257,<p>retirement</p><br>,10
159,finance term,stock options,4,3620,<p>stock options</p><br>,11
159,finance term,inflation,7,2641,<p>inflation</p><br>,12
159,finance term,private equity fund,3,5484,<p>private equity fund</p><br>,13
159,finance term,interest rate,7,4551,<p>interest rate</p><br>,14
159,finance term,Roth IRA,2,14283,<p>Roth IRA</p><br>,15
159,finance term,whole life insurance,6,7035,<p>whole life insurance</p><br>,16
159,self-rating,generalKnowledge,3,27479,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
159,self-rating,compareAmerican,3,6294,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
159,FLquiz,stocks,True,117466,NA,19
159,FLquiz,interest,Rise,117466,NA,19
159,FLquiz,mortgage,True,117466,NA,19
159,FLquiz,inflation,Less,117466,NA,19
159,FLquiz,savingsAccount,More than $102,117466,NA,19
160,finance term,pre-rated stocks,3,4980,<p>pre-rated stocks</p><br>,2
160,finance term,fixed-rate deduction,2,5062,<p>fixed-rate deduction</p><br>,3
160,finance term,annualized credit,5,2634,<p>annualized credit</p><br>,4
160,finance term,tax bracket,3,2332,<p>tax bracket</p><br>,5
160,finance term,fixed-rate mortgage,5,5369,<p>fixed-rate mortgage</p><br>,6
160,finance term,home equity,3,2171,<p>home equity</p><br>,7
160,finance term,revolving credit,2,3203,<p>revolving credit</p><br>,8
160,finance term,vesting,4,8869,<p>vesting</p><br>,9
160,finance term,retirement,7,2537,<p>retirement</p><br>,10
160,finance term,stock options,5,1921,<p>stock options</p><br>,11
160,finance term,inflation,7,1931,<p>inflation</p><br>,12
160,finance term,private equity fund,3,2346,<p>private equity fund</p><br>,13
160,finance term,interest rate,7,12238,<p>interest rate</p><br>,14
160,finance term,Roth IRA,3,3137,<p>Roth IRA</p><br>,15
160,finance term,whole life insurance,7,2279,<p>whole life insurance</p><br>,16
160,self-rating,generalKnowledge,3,7748,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
160,self-rating,compareAmerican,5,4469,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
160,FLquiz,stocks,Don't know,118424,NA,19
160,FLquiz,interest,Rise,118424,NA,19
160,FLquiz,mortgage,True,118424,NA,19
160,FLquiz,inflation,Less,118424,NA,19
160,FLquiz,savingsAccount,More than $102,118424,NA,19
161,finance term,pre-rated stocks,2,3985,<p>pre-rated stocks</p><br>,2
161,finance term,fixed-rate deduction,6,4852,<p>fixed-rate deduction</p><br>,3
161,finance term,annualized credit,3,2887,<p>annualized credit</p><br>,4
161,finance term,tax bracket,6,3096,<p>tax bracket</p><br>,5
161,finance term,fixed-rate mortgage,6,5608,<p>fixed-rate mortgage</p><br>,6
161,finance term,home equity,6,3564,<p>home equity</p><br>,7
161,finance term,revolving credit,3,8600,<p>revolving credit</p><br>,8
161,finance term,vesting,2,7853,<p>vesting</p><br>,9
161,finance term,retirement,7,2560,<p>retirement</p><br>,10
161,finance term,stock options,5,2128,<p>stock options</p><br>,11
161,finance term,inflation,6,2202,<p>inflation</p><br>,12
161,finance term,private equity fund,3,1962,<p>private equity fund</p><br>,13
161,finance term,interest rate,6,2159,<p>interest rate</p><br>,14
161,finance term,Roth IRA,3,2604,<p>Roth IRA</p><br>,15
161,finance term,whole life insurance,7,2456,<p>whole life insurance</p><br>,16
161,self-rating,generalKnowledge,5,6479,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
161,self-rating,compareAmerican,5,10242,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
161,FLquiz,stocks,Don't know,77125,NA,19
161,FLquiz,interest,Rise,77125,NA,19
161,FLquiz,mortgage,True,77125,NA,19
161,FLquiz,inflation,Less,77125,NA,19
161,FLquiz,savingsAccount,More than $102,77125,NA,19
162,finance term,pre-rated stocks,1,17124,<p>pre-rated stocks</p><br>,2
162,finance term,fixed-rate deduction,2,13041,<p>fixed-rate deduction</p><br>,3
162,finance term,annualized credit,3,10129,<p>annualized credit</p><br>,4
162,finance term,tax bracket,7,12980,<p>tax bracket</p><br>,5
162,finance term,fixed-rate mortgage,6,8742,<p>fixed-rate mortgage</p><br>,6
162,finance term,home equity,6,9449,<p>home equity</p><br>,7
162,finance term,revolving credit,6,8256,<p>revolving credit</p><br>,8
162,finance term,vesting,3,11086,<p>vesting</p><br>,9
162,finance term,retirement,7,6453,<p>retirement</p><br>,10
162,finance term,stock options,6,12422,<p>stock options</p><br>,11
162,finance term,inflation,6,6145,<p>inflation</p><br>,12
162,finance term,private equity fund,6,8075,<p>private equity fund</p><br>,13
162,finance term,interest rate,7,6362,<p>interest rate</p><br>,14
162,finance term,Roth IRA,2,10710,<p>Roth IRA</p><br>,15
162,finance term,whole life insurance,6,5885,<p>whole life insurance</p><br>,16
162,self-rating,generalKnowledge,6,23911,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
162,self-rating,compareAmerican,5,10443,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
162,FLquiz,stocks,False,164327,NA,19
162,FLquiz,interest,Rise,164327,NA,19
162,FLquiz,mortgage,True,164327,NA,19
162,FLquiz,inflation,Less,164327,NA,19
162,FLquiz,savingsAccount,Less than $102,164327,NA,19
163,finance term,pre-rated stocks,3,26039,<p>pre-rated stocks</p><br>,4
163,finance term,fixed-rate deduction,6,14127,<p>fixed-rate deduction</p><br>,5
163,finance term,annualized credit,5,10544,<p>annualized credit</p><br>,6
163,finance term,tax bracket,7,5257,<p>tax bracket</p><br>,7
163,finance term,fixed-rate mortgage,7,5612,<p>fixed-rate mortgage</p><br>,8
163,finance term,home equity,6,9003,<p>home equity</p><br>,9
163,finance term,revolving credit,5,10782,<p>revolving credit</p><br>,10
163,finance term,vesting,7,6069,<p>vesting</p><br>,11
163,finance term,retirement,7,3015,<p>retirement</p><br>,12
163,finance term,stock options,6,3405,<p>stock options</p><br>,13
163,finance term,inflation,7,3986,<p>inflation</p><br>,14
163,finance term,private equity fund,7,6906,<p>private equity fund</p><br>,15
163,finance term,interest rate,7,2369,<p>interest rate</p><br>,16
163,finance term,Roth IRA,1,17849,<p>Roth IRA</p><br>,17
163,finance term,whole life insurance,7,5300,<p>whole life insurance</p><br>,18
163,self-rating,generalKnowledge,6,23904,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
163,self-rating,compareAmerican,6,15413,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
163,FLquiz,stocks,False,172064,NA,19
163,FLquiz,interest,Rise,172064,NA,19
163,FLquiz,mortgage,True,172064,NA,19
163,FLquiz,inflation,Less,172064,NA,19
163,FLquiz,savingsAccount,More than $102,172064,NA,19
171,finance term,pre-rated stocks,1,3370,<p>pre-rated stocks</p><br>,4
171,finance term,fixed-rate deduction,1,3535,<p>fixed-rate deduction</p><br>,5
171,finance term,annualized credit,1,2538,<p>annualized credit</p><br>,6
171,finance term,tax bracket,6,4334,<p>tax bracket</p><br>,7
171,finance term,fixed-rate mortgage,5,2915,<p>fixed-rate mortgage</p><br>,8
171,finance term,home equity,2,4224,<p>home equity</p><br>,9
171,finance term,revolving credit,1,2745,<p>revolving credit</p><br>,10
171,finance term,vesting,1,2197,<p>vesting</p><br>,11
171,finance term,retirement,7,5506,<p>retirement</p><br>,12
171,finance term,stock options,4,3218,<p>stock options</p><br>,13
171,finance term,inflation,7,3158,<p>inflation</p><br>,14
171,finance term,private equity fund,1,3905,<p>private equity fund</p><br>,15
171,finance term,interest rate,7,2802,<p>interest rate</p><br>,16
171,finance term,Roth IRA,5,3882,<p>Roth IRA</p><br>,17
171,finance term,whole life insurance,5,4000,<p>whole life insurance</p><br>,18
171,self-rating,generalKnowledge,5,7686,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
171,self-rating,compareAmerican,5,8824,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
171,FLquiz,stocks,True,101523,NA,19
171,FLquiz,interest,Rise,101523,NA,19
171,FLquiz,mortgage,True,101523,NA,19
171,FLquiz,inflation,Don't know,101523,NA,19
171,FLquiz,savingsAccount,More than $102,101523,NA,19
204,finance term,pre-rated stocks,3,18078,<p>pre-rated stocks</p><br>,2
204,finance term,fixed-rate deduction,3,5210,<p>fixed-rate deduction</p><br>,3
204,finance term,annualized credit,7,11792,<p>annualized credit</p><br>,4
204,finance term,tax bracket,7,10283,<p>tax bracket</p><br>,5
204,finance term,fixed-rate mortgage,7,20580,<p>fixed-rate mortgage</p><br>,6
204,finance term,home equity,6,9339,<p>home equity</p><br>,7
204,finance term,revolving credit,6,15204,<p>revolving credit</p><br>,8
204,finance term,vesting,3,18828,<p>vesting</p><br>,9
204,finance term,retirement,7,1785,<p>retirement</p><br>,10
204,finance term,stock options,5,7163,<p>stock options</p><br>,11
204,finance term,inflation,7,2421,<p>inflation</p><br>,12
204,finance term,private equity fund,4,19896,<p>private equity fund</p><br>,13
204,finance term,interest rate,7,10959,<p>interest rate</p><br>,14
204,finance term,Roth IRA,6,17012,<p>Roth IRA</p><br>,15
204,finance term,whole life insurance,7,2293,<p>whole life insurance</p><br>,16
204,finance term,pre-rated stocks,1,7854,<p>pre-rated stocks</p><br>,2
204,finance term,fixed-rate deduction,3,5599,<p>fixed-rate deduction</p><br>,3
204,finance term,annualized credit,5,4159,<p>annualized credit</p><br>,4
204,finance term,tax bracket,2,4223,<p>tax bracket</p><br>,5
204,finance term,fixed-rate mortgage,6,3687,<p>fixed-rate mortgage</p><br>,6
204,finance term,home equity,5,3303,<p>home equity</p><br>,7
204,finance term,revolving credit,5,2640,<p>revolving credit</p><br>,8
204,finance term,vesting,1,4551,<p>vesting</p><br>,9
204,finance term,retirement,7,2215,<p>retirement</p><br>,10
204,finance term,stock options,7,2271,<p>stock options</p><br>,11
204,finance term,inflation,7,1855,<p>inflation</p><br>,12
204,finance term,private equity fund,5,4447,<p>private equity fund</p><br>,13
204,finance term,interest rate,7,4527,<p>interest rate</p><br>,14
204,finance term,Roth IRA,1,3632,<p>Roth IRA</p><br>,15
204,finance term,whole life insurance,4,4350,<p>whole life insurance</p><br>,16
204,self-rating,generalKnowledge,5,5622,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
204,self-rating,compareAmerican,6,5725,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
204,self-rating,generalKnowledge,4,14079,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
204,self-rating,compareAmerican,4,18752,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
204,FLquiz,stocks,False,241251,NA,19
204,FLquiz,interest,Fall,241251,NA,19
204,FLquiz,mortgage,True,241251,NA,19
204,FLquiz,inflation,Less,241251,NA,19
204,FLquiz,savingsAccount,More than $102,241251,NA,19
204,FLquiz,stocks,False,143071,NA,19
204,FLquiz,interest,Rise,143071,NA,19
204,FLquiz,mortgage,True,143071,NA,19
204,FLquiz,inflation,Less,143071,NA,19
204,FLquiz,savingsAccount,Exactly $102,143071,NA,19
205,finance term,pre-rated stocks,1,5663,<p>pre-rated stocks</p><br>,2
205,finance term,fixed-rate deduction,3,5600,<p>fixed-rate deduction</p><br>,3
205,finance term,annualized credit,5,4772,<p>annualized credit</p><br>,4
205,finance term,tax bracket,2,5120,<p>tax bracket</p><br>,5
205,finance term,fixed-rate mortgage,6,3390,<p>fixed-rate mortgage</p><br>,6
205,finance term,home equity,5,2979,<p>home equity</p><br>,7
205,finance term,revolving credit,3,2904,<p>revolving credit</p><br>,8
205,finance term,vesting,1,4880,<p>vesting</p><br>,9
205,finance term,retirement,7,3042,<p>retirement</p><br>,10
205,finance term,stock options,5,6105,<p>stock options</p><br>,11
205,finance term,inflation,6,2540,<p>inflation</p><br>,12
205,finance term,private equity fund,4,3148,<p>private equity fund</p><br>,13
205,finance term,interest rate,6,2532,<p>interest rate</p><br>,14
205,finance term,Roth IRA,1,3431,<p>Roth IRA</p><br>,15
205,finance term,whole life insurance,5,4329,<p>whole life insurance</p><br>,16
205,self-rating,generalKnowledge,3,8848,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
205,self-rating,compareAmerican,4,10955,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
205,FLquiz,stocks,False,94909,NA,19
205,FLquiz,interest,Don't know,94909,NA,19
205,FLquiz,mortgage,True,94909,NA,19
205,FLquiz,inflation,Less,94909,NA,19
205,FLquiz,savingsAccount,More than $102,94909,NA,19
206,finance term,pre-rated stocks,3,3663,<p>pre-rated stocks</p><br>,4
206,finance term,fixed-rate deduction,6,4505,<p>fixed-rate deduction</p><br>,5
206,finance term,annualized credit,6,1929,<p>annualized credit</p><br>,6
206,finance term,tax bracket,7,2985,<p>tax bracket</p><br>,7
206,finance term,fixed-rate mortgage,7,2080,<p>fixed-rate mortgage</p><br>,8
206,finance term,home equity,5,3907,<p>home equity</p><br>,9
206,finance term,revolving credit,2,2358,<p>revolving credit</p><br>,10
206,finance term,vesting,6,2235,<p>vesting</p><br>,11
206,finance term,retirement,7,1893,<p>retirement</p><br>,12
206,finance term,stock options,7,1900,<p>stock options</p><br>,13
206,finance term,inflation,7,1782,<p>inflation</p><br>,14
206,finance term,private equity fund,7,2090,<p>private equity fund</p><br>,15
206,finance term,interest rate,7,2949,<p>interest rate</p><br>,16
206,finance term,Roth IRA,6,3408,<p>Roth IRA</p><br>,17
206,finance term,whole life insurance,4,4793,<p>whole life insurance</p><br>,18
206,self-rating,generalKnowledge,6,4166,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
206,self-rating,compareAmerican,6,4524,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
206,FLquiz,stocks,False,51198,NA,19
206,FLquiz,interest,Rise,51198,NA,19
206,FLquiz,mortgage,True,51198,NA,19
206,FLquiz,inflation,Less,51198,NA,19
206,FLquiz,savingsAccount,More than $102,51198,NA,19
207,finance term,pre-rated stocks,5,4783,<p>pre-rated stocks</p><br>,4
207,finance term,fixed-rate deduction,1,8526,<p>fixed-rate deduction</p><br>,5
207,finance term,annualized credit,4,3695,<p>annualized credit</p><br>,6
207,finance term,tax bracket,1,5087,<p>tax bracket</p><br>,7
207,finance term,fixed-rate mortgage,7,3087,<p>fixed-rate mortgage</p><br>,8
207,finance term,home equity,7,2614,<p>home equity</p><br>,9
207,finance term,revolving credit,7,2280,<p>revolving credit</p><br>,10
207,finance term,vesting,1,2174,<p>vesting</p><br>,11
207,finance term,retirement,7,2471,<p>retirement</p><br>,12
207,finance term,stock options,7,2111,<p>stock options</p><br>,13
207,finance term,inflation,7,2016,<p>inflation</p><br>,14
207,finance term,private equity fund,7,2863,<p>private equity fund</p><br>,15
207,finance term,interest rate,7,2054,<p>interest rate</p><br>,16
207,finance term,Roth IRA,1,2111,<p>Roth IRA</p><br>,17
207,finance term,whole life insurance,2,6503,<p>whole life insurance</p><br>,18
207,self-rating,generalKnowledge,6,5900,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
207,self-rating,compareAmerican,4,3831,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
207,FLquiz,stocks,False,76591,NA,19
207,FLquiz,interest,Fall,76591,NA,19
207,FLquiz,mortgage,True,76591,NA,19
207,FLquiz,inflation,Less,76591,NA,19
207,FLquiz,savingsAccount,More than $102,76591,NA,19
208,finance term,pre-rated stocks,1,3195,<p>pre-rated stocks</p><br>,2
208,finance term,fixed-rate deduction,1,26275,<p>fixed-rate deduction</p><br>,3
208,finance term,annualized credit,5,6651,<p>annualized credit</p><br>,4
208,finance term,tax bracket,2,3835,<p>tax bracket</p><br>,5
208,finance term,fixed-rate mortgage,5,3131,<p>fixed-rate mortgage</p><br>,6
208,finance term,home equity,5,2571,<p>home equity</p><br>,7
208,finance term,revolving credit,2,3211,<p>revolving credit</p><br>,8
208,finance term,vesting,1,1931,<p>vesting</p><br>,9
208,finance term,retirement,7,2196,<p>retirement</p><br>,10
208,finance term,stock options,5,1879,<p>stock options</p><br>,11
208,finance term,inflation,7,2035,<p>inflation</p><br>,12
208,finance term,private equity fund,1,4035,<p>private equity fund</p><br>,13
208,finance term,interest rate,7,1979,<p>interest rate</p><br>,14
208,finance term,Roth IRA,4,33147,<p>Roth IRA</p><br>,15
208,finance term,whole life insurance,6,2971,<p>whole life insurance</p><br>,16
208,self-rating,generalKnowledge,2,3099,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
208,self-rating,compareAmerican,3,6299,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
208,FLquiz,stocks,False,105999,NA,19
208,FLquiz,interest,Don't know,105999,NA,19
208,FLquiz,mortgage,True,105999,NA,19
208,FLquiz,inflation,Less,105999,NA,19
208,FLquiz,savingsAccount,Exactly $102,105999,NA,19
209,finance term,pre-rated stocks,3,3034,<p>pre-rated stocks</p><br>,4
209,finance term,fixed-rate deduction,5,2618,<p>fixed-rate deduction</p><br>,5
209,finance term,annualized credit,5,1863,<p>annualized credit</p><br>,6
209,finance term,tax bracket,6,2329,<p>tax bracket</p><br>,7
209,finance term,fixed-rate mortgage,5,1921,<p>fixed-rate mortgage</p><br>,8
209,finance term,home equity,5,1783,<p>home equity</p><br>,9
209,finance term,revolving credit,5,2569,<p>revolving credit</p><br>,10
209,finance term,vesting,2,2248,<p>vesting</p><br>,11
209,finance term,retirement,4,3243,<p>retirement</p><br>,12
209,finance term,stock options,4,9239,<p>stock options</p><br>,13
209,finance term,inflation,6,3329,<p>inflation</p><br>,14
209,finance term,private equity fund,3,1985,<p>private equity fund</p><br>,15
209,finance term,interest rate,5,3699,<p>interest rate</p><br>,16
209,finance term,Roth IRA,2,2194,<p>Roth IRA</p><br>,17
209,finance term,whole life insurance,4,5708,<p>whole life insurance</p><br>,18
209,self-rating,generalKnowledge,4,8710,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
209,self-rating,compareAmerican,5,5468,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
209,FLquiz,stocks,False,62445,NA,19
209,FLquiz,interest,Fall,62445,NA,19
209,FLquiz,mortgage,True,62445,NA,19
209,FLquiz,inflation,Less,62445,NA,19
209,FLquiz,savingsAccount,More than $102,62445,NA,19
210,finance term,pre-rated stocks,1,5452,<p>pre-rated stocks</p><br>,4
210,finance term,fixed-rate deduction,1,8091,<p>fixed-rate deduction</p><br>,5
210,finance term,annualized credit,1,5332,<p>annualized credit</p><br>,6
210,finance term,tax bracket,7,5138,<p>tax bracket</p><br>,7
210,finance term,fixed-rate mortgage,6,4981,<p>fixed-rate mortgage</p><br>,8
210,finance term,home equity,5,3046,<p>home equity</p><br>,9
210,finance term,revolving credit,1,2830,<p>revolving credit</p><br>,10
210,finance term,vesting,1,2338,<p>vesting</p><br>,11
210,finance term,retirement,6,3081,<p>retirement</p><br>,12
210,finance term,stock options,6,3154,<p>stock options</p><br>,13
210,finance term,inflation,6,2246,<p>inflation</p><br>,14
210,finance term,private equity fund,5,4844,<p>private equity fund</p><br>,15
210,finance term,interest rate,6,2488,<p>interest rate</p><br>,16
210,finance term,Roth IRA,3,4713,<p>Roth IRA</p><br>,17
210,finance term,whole life insurance,2,4697,<p>whole life insurance</p><br>,18
210,self-rating,generalKnowledge,5,4963,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
210,self-rating,compareAmerican,5,6674,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
210,FLquiz,stocks,False,84957,NA,19
210,FLquiz,interest,Don't know,84957,NA,19
210,FLquiz,mortgage,True,84957,NA,19
210,FLquiz,inflation,Less,84957,NA,19
210,FLquiz,savingsAccount,More than $102,84957,NA,19
211,finance term,pre-rated stocks,5,2303,<p>pre-rated stocks</p><br>,4
211,finance term,fixed-rate deduction,5,1729,<p>fixed-rate deduction</p><br>,5
211,finance term,annualized credit,5,1772,<p>annualized credit</p><br>,6
211,finance term,tax bracket,6,1604,<p>tax bracket</p><br>,7
211,finance term,fixed-rate mortgage,3,3035,<p>fixed-rate mortgage</p><br>,8
211,finance term,home equity,4,2003,<p>home equity</p><br>,9
211,finance term,revolving credit,5,2563,<p>revolving credit</p><br>,10
211,finance term,vesting,5,1339,<p>vesting</p><br>,11
211,finance term,retirement,6,1688,<p>retirement</p><br>,12
211,finance term,stock options,7,2181,<p>stock options</p><br>,13
211,finance term,inflation,7,1500,<p>inflation</p><br>,14
211,finance term,private equity fund,7,3732,<p>private equity fund</p><br>,15
211,finance term,interest rate,5,1343,<p>interest rate</p><br>,16
211,finance term,Roth IRA,5,2224,<p>Roth IRA</p><br>,17
211,finance term,whole life insurance,5,2680,<p>whole life insurance</p><br>,18
211,self-rating,generalKnowledge,5,2708,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
211,self-rating,compareAmerican,6,7389,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
211,FLquiz,stocks,True,117201,NA,19
211,FLquiz,interest,Rise,117201,NA,19
211,FLquiz,mortgage,True,117201,NA,19
211,FLquiz,inflation,Less,117201,NA,19
211,FLquiz,savingsAccount,More than $102,117201,NA,19
212,finance term,pre-rated stocks,1,3121,<p>pre-rated stocks</p><br>,2
212,finance term,fixed-rate deduction,2,3191,<p>fixed-rate deduction</p><br>,3
212,finance term,annualized credit,2,4977,<p>annualized credit</p><br>,4
212,finance term,tax bracket,4,3108,<p>tax bracket</p><br>,5
