id,CommOwn,Comments,Age,Gender,task,moderator,question_type,rating,presence_of_moderator,causalexplanatoryCF,typetoken
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,g4.Ty.CF,NA,present,counterfactual,type
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,g4.To.CF,5,present,counterfactual,token
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,y3.CaTy.Uq,NA,absent,causal,type
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,y3.ExTy.Uq,NA,absent,explanatory,type
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,y3.CaTo.Uq,6,absent,causal,token
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,y3.ExTo.Uq,NA,absent,explanatory,token
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,y4.Ty.CF,NA,absent,counterfactual,type
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,y4.To.CF,6,absent,counterfactual,token
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,Mch.z1,1,absent,NA,NA
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,Mch.z2,2,absent,NA,NA
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,Mch.d1,4,absent,NA,NA
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,Mch.d2,1,absent,NA,NA
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,Mch.g1,1,absent,NA,NA
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,Mch.g2,1,absent,NA,NA
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,Mch.y1,1,absent,NA,NA
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,Mch.y2,2,absent,NA,NA
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,Z3.CaTy.Uq,NA,absent,causal,type
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,Z3.ExTy.Uq,NA,absent,explanatory,type
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,z3.CaTo.Uq,5,absent,causal,token
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,z3.ExTo.Uq,NA,absent,explanatory,token
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,Z4.Ty.CF,NA,absent,counterfactual,type
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,z4.To.CF,2,absent,counterfactual,token
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,d3.CaTy.Uq,NA,present,causal,type
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,d3.ExTy.Uq,NA,present,explanatory,type
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,d3.CaTo.UQ,6,present,causal,token
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,d3.ExTo.UQ,NA,present,explanatory,token
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,d4.Ty.CF,NA,present,counterfactual,type
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,d4.To.CF,4,present,counterfactual,token
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,g3.CaTy.Uq,NA,absent,causal,type
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,g3.ExTy.Uq,NA,absent,explanatory,type
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,g3.CaTo.Uq,7,absent,causal,token
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,g3.ExTo.Uq,NA,absent,explanatory,token
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,g4.Ty.CF,NA,absent,counterfactual,type
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,g4.To.CF,7,absent,counterfactual,token
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,y3.CaTy.Uq,NA,present,causal,type
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,y3.ExTy.Uq,NA,present,explanatory,type
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,y3.CaTo.Uq,6,present,causal,token
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,y3.ExTo.Uq,NA,present,explanatory,token
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,y4.Ty.CF,NA,present,counterfactual,type
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,y4.To.CF,3,present,counterfactual,token
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,Mch.z1,3,absent,NA,NA
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,Mch.z2,3,absent,NA,NA
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,Mch.d1,3,absent,NA,NA
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,Mch.d2,1,absent,NA,NA
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,Mch.g1,2,absent,NA,NA
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,Mch.g2,2,absent,NA,NA
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,Mch.y1,3,absent,NA,NA
4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,Mch.y2,1,absent,NA,NA
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,Z3.CaTy.Uq,NA,present,causal,type
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,Z3.ExTy.Uq,3,present,explanatory,type
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,z3.CaTo.Uq,NA,present,causal,token
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,z3.ExTo.Uq,NA,present,explanatory,token
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,Z4.Ty.CF,3,present,counterfactual,type
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,z4.To.CF,NA,present,counterfactual,token
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,d3.CaTy.Uq,NA,absent,causal,type
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,d3.ExTy.Uq,5,absent,explanatory,type
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,d3.CaTo.UQ,NA,absent,causal,token
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,d3.ExTo.UQ,NA,absent,explanatory,token
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,d4.Ty.CF,5,absent,counterfactual,type
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,d4.To.CF,NA,absent,counterfactual,token
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,g3.CaTy.Uq,NA,present,causal,type
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,g3.ExTy.Uq,6,present,explanatory,type
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,g3.CaTo.Uq,NA,present,causal,token
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,g3.ExTo.Uq,NA,present,explanatory,token
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,g4.Ty.CF,3,present,counterfactual,type
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,g4.To.CF,NA,present,counterfactual,token
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,y3.CaTy.Uq,NA,absent,causal,type
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,y3.ExTy.Uq,5,absent,explanatory,type
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,y3.CaTo.Uq,NA,absent,causal,token
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,y3.ExTo.Uq,NA,absent,explanatory,token
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,y4.Ty.CF,6,absent,counterfactual,type
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,y4.To.CF,NA,absent,counterfactual,token
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,Mch.z1,4,absent,NA,NA
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,Mch.z2,1,absent,NA,NA
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,Mch.d1,4,absent,NA,NA
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,Mch.d2,1,absent,NA,NA
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,Mch.g1,1,absent,NA,NA
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,Mch.g2,4,absent,NA,NA
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,Mch.y1,1,absent,NA,NA
5,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,Mch.y2,4,absent,NA,NA
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,Z3.CaTy.Uq,1,present,causal,type
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,Z3.ExTy.Uq,NA,present,explanatory,type
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,z3.CaTo.Uq,NA,present,causal,token
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,z3.ExTo.Uq,NA,present,explanatory,token
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,Z4.Ty.CF,4,present,counterfactual,type
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,z4.To.CF,NA,present,counterfactual,token
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,d3.CaTy.Uq,6,absent,causal,type
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,d3.ExTy.Uq,NA,absent,explanatory,type
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,d3.CaTo.UQ,NA,absent,causal,token
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,d3.ExTo.UQ,NA,absent,explanatory,token
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,d4.Ty.CF,7,absent,counterfactual,type
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,d4.To.CF,NA,absent,counterfactual,token
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,g3.CaTy.Uq,1,present,causal,type
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,g3.ExTy.Uq,NA,present,explanatory,type
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,g3.CaTo.Uq,NA,present,causal,token
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,g3.ExTo.Uq,NA,present,explanatory,token
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,g4.Ty.CF,1,present,counterfactual,type
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,g4.To.CF,NA,present,counterfactual,token
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,y3.CaTy.Uq,5,absent,causal,type
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,y3.ExTy.Uq,NA,absent,explanatory,type
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,y3.CaTo.Uq,NA,absent,causal,token
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,y3.ExTo.Uq,NA,absent,explanatory,token
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,y4.Ty.CF,6,absent,counterfactual,type
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,y4.To.CF,NA,absent,counterfactual,token
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,Mch.z1,1,absent,NA,NA
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,Mch.z2,1,absent,NA,NA
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,Mch.d1,1,absent,NA,NA
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,Mch.d2,1,absent,NA,NA
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,Mch.g1,1,absent,NA,NA
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,Mch.g2,1,absent,NA,NA
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,Mch.y1,1,absent,NA,NA
7,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,Mch.y2,1,absent,NA,NA
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,Z3.CaTy.Uq,NA,absent,causal,type
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,Z3.ExTy.Uq,NA,absent,explanatory,type
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,z3.CaTo.Uq,6,absent,causal,token
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,z3.ExTo.Uq,NA,absent,explanatory,token
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,Z4.Ty.CF,NA,absent,counterfactual,type
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,z4.To.CF,2,absent,counterfactual,token
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,d3.CaTy.Uq,NA,present,causal,type
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,d3.ExTy.Uq,NA,present,explanatory,type
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,d3.CaTo.UQ,5,present,causal,token
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,d3.ExTo.UQ,NA,present,explanatory,token
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,d4.Ty.CF,NA,present,counterfactual,type
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,d4.To.CF,3,present,counterfactual,token
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,g3.CaTy.Uq,NA,absent,causal,type
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,g3.ExTy.Uq,NA,absent,explanatory,type
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,g3.CaTo.Uq,5,absent,causal,token
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,g3.ExTo.Uq,NA,absent,explanatory,token
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,g4.Ty.CF,NA,absent,counterfactual,type
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,g4.To.CF,3,absent,counterfactual,token
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,y3.CaTy.Uq,NA,present,causal,type
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,y3.ExTy.Uq,NA,present,explanatory,type
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,y3.CaTo.Uq,3,present,causal,token
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,y3.ExTo.Uq,NA,present,explanatory,token
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,y4.Ty.CF,NA,present,counterfactual,type
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,y4.To.CF,3,present,counterfactual,token
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,Mch.z1,1,absent,NA,NA
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,Mch.z2,1,absent,NA,NA
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,Mch.d1,1,absent,NA,NA
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,Mch.d2,1,absent,NA,NA
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,Mch.g1,1,absent,NA,NA
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,Mch.g2,1,absent,NA,NA
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,Mch.y1,1,absent,NA,NA
9,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,Mch.y2,1,absent,NA,NA
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,Z3.CaTy.Uq,NA,absent,causal,type
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,Z3.ExTy.Uq,NA,absent,explanatory,type
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,z3.CaTo.Uq,NA,absent,causal,token
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,z3.ExTo.Uq,6,absent,explanatory,token
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,Z4.Ty.CF,NA,absent,counterfactual,type
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,z4.To.CF,6,absent,counterfactual,token
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,d3.CaTy.Uq,NA,present,causal,type
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,d3.ExTy.Uq,NA,present,explanatory,type
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,d3.CaTo.UQ,NA,present,causal,token
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,d3.ExTo.UQ,4,present,explanatory,token
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,d4.Ty.CF,NA,present,counterfactual,type
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,d4.To.CF,3,present,counterfactual,token
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,g3.CaTy.Uq,NA,absent,causal,type
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,g3.ExTy.Uq,NA,absent,explanatory,type
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,g3.CaTo.Uq,NA,absent,causal,token
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,g3.ExTo.Uq,6,absent,explanatory,token
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,g4.Ty.CF,NA,absent,counterfactual,type
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,g4.To.CF,7,absent,counterfactual,token
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,y3.CaTy.Uq,NA,present,causal,type
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,y3.ExTy.Uq,NA,present,explanatory,type
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,y3.CaTo.Uq,NA,present,causal,token
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,y3.ExTo.Uq,4,present,explanatory,token
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,y4.Ty.CF,NA,present,counterfactual,type
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,y4.To.CF,4,present,counterfactual,token
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,Mch.z1,1,absent,NA,NA
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,Mch.z2,1,absent,NA,NA
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,Mch.d1,1,absent,NA,NA
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,Mch.d2,1,absent,NA,NA
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,Mch.g1,1,absent,NA,NA
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,Mch.g2,1,absent,NA,NA
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,Mch.y1,1,absent,NA,NA
10,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,Mch.y2,1,absent,NA,NA
11,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,Z3.CaTy.Uq,NA,present,causal,type
11,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,Z3.ExTy.Uq,NA,present,explanatory,type
11,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,z3.CaTo.Uq,NA,present,causal,token
11,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,z3.ExTo.Uq,4,present,explanatory,token
11,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,Z4.Ty.CF,NA,present,counterfactual,type
11,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,z4.To.CF,4,present,counterfactual,token
11,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,d3.CaTy.Uq,NA,absent,causal,type
11,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,d3.ExTy.Uq,NA,absent,explanatory,type
11,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,d3.CaTo.UQ,NA,absent,causal,token
11,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,d3.ExTo.UQ,5,absent,explanatory,token
11,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,d4.Ty.CF,NA,absent,counterfactual,type
11,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,d4.To.CF,5,absent,counterfactual,token
11,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,g3.CaTy.Uq,NA,present,causal,type
11,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,g3.ExTy.Uq,NA,present,explanatory,type
11,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,g3.CaTo.Uq,NA,present,causal,token
