workerid,proliferate.condition,failed_audio,failed_images,failed_video,internal_node_id,response,rt,stimulus,subject,success,time_elapsed,timeout,trial_index,trial_type,error
11,sheppes,,,,0.0-8.0, ,843,"<center><p>Now you are going to practice using distraction. Once the picture comes up on the screen, please immediately start focusing and implementing that strategy.</p><p>Press the spacebar to continue</p></center>",8jvuk,,11201,,10,html-keyboard-response,
11,sheppes,,,,0.0-9.0-0.0,{'Q0': ''},1891,,8jvuk,,13098,,11,survey-text,
11,sheppes,,,,0.0-9.0-1.0, ,607,"<center><p>Just to give you more ideas, other people thought of cars passing on a street they know, or about all the steps of making coffee, or about a red triangle. <b>Remember, the moment you see the picture on the screen, start focusing all your thoughts on the distracting object you chose.</b></p><p>Press the spacebar to continue</p></center>",8jvuk,,13705,,12,html-keyboard-response,
11,sheppes,,,,0.0-9.0-2.0,{'Q0': 'fdasgs'},2323,,8jvuk,,16033,,13,survey-text,
11,sheppes,,,,0.0-10.0, ,708,"<center><p>We would now like you to practice using the two strategies you just learned. First, you will see a fixation cross. Please just attend to it. Then, a picture will flash on the screen for a very brief period of time. Follow the instructions on the screen. The same picture that you saw briefly will then appear for an extended time. As soon as you see it, start implementing the strategy that is written under the picture. <b>Please look at the image for the entire time that it appears on the screen. After the time is up, the next image will appear automatically.</b></p><p>Press the spacebar to continue.</p></center>",8jvuk,,16742,,14,html-keyboard-response,
11,sheppes,,,,0.0-11.0-0.0, ,802,iaps/2120lp.jpg,8jvuk,,17547,,15,image-keyboard-response,
11,sheppes,,,,0.0-11.0-1.0,,,iaps/2120lp.jpg,8jvuk,,22985,,16,image-keyboard-response,
11,sheppes,,,,0.0-11.0-2.0,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,23986,,17,html-keyboard-response,
11,sheppes,,,,0.0-11.0-0.1, ,1772,iaps/2703hp.jpg,8jvuk,,25759,,18,image-keyboard-response,
11,sheppes,,,,0.0-11.0-1.1,,,iaps/2703hp.jpg,8jvuk,,30760,,19,image-keyboard-response,
11,sheppes,,,,0.0-11.0-2.1,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,31763,,20,html-keyboard-response,
11,sheppes,,,,0.0-12.0-0.0, ,1718,iaps/3051hp.jpg,8jvuk,,33481,,21,image-keyboard-response,
11,sheppes,,,,0.0-12.0-1.0,,,iaps/3051hp.jpg,8jvuk,,38483,,22,image-keyboard-response,
11,sheppes,,,,0.0-12.0-2.0,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,39485,,23,html-keyboard-response,
11,sheppes,,,,0.0-12.0-0.1, ,2680,iaps/7521lp.jpg,8jvuk,,42166,,24,image-keyboard-response,
11,sheppes,,,,0.0-12.0-1.1,,,iaps/7521lp.jpg,8jvuk,,47168,,25,image-keyboard-response,
11,sheppes,,,,0.0-12.0-2.1,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,48169,,26,html-keyboard-response,
11,sheppes,,,,0.0-13.0, ,1090,"<center><p>In this task, we want you to <b>choose</b> between the two strategies that you just learned for each picture that you see. Like in the previous part of the study, you will see a fixation cross. Please just attend to it. Then, a picture will flash on the screen for a very brief period of time. You will then <b>select which regulation strategy to use</b> using buttons at the bottom of the screen. As soon as you select the strategy, the same picture that you saw briefly will then appear for an extended time. As soon as you see it, start implementing the strategy that you selected.</p><p>There are no right or wrong answers, so do not be concerned about keeping a balance between your choices. You can choose whatever strategies you want during the task. This is completely your choice. Consider both strategies and pick the one that you think will make you feel less negative. Make your choice and start controlling your emotions when you see the image appear again. <b>It is important that you keep your eyes on the picture and not avert your gaze.</b></p><p>Press the spacebar to continue</p></center>",8jvuk,,49260,,27,html-keyboard-response,
11,sheppes,,,,0.0-14.0-0.0,0,1267,iaps/9921hp.jpg,8jvuk,,50530,,28,image-button-response,
11,sheppes,,,,0.0-14.0-1.0,,,iaps/9921hp.jpg,8jvuk,,56137,,29,image-keyboard-response,
11,sheppes,,,,0.0-14.0-2.0,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,57139,,30,html-keyboard-response,
11,sheppes,,,,0.0-14.0-0.1,0,10569,iaps/9145lp.jpg,8jvuk,,67710,,31,image-button-response,
11,sheppes,,,,0.0-14.0-1.1,,,iaps/9145lp.jpg,8jvuk,,72712,,32,image-keyboard-response,
11,sheppes,,,,0.0-14.0-2.1,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,73714,,33,html-keyboard-response,
11,sheppes,,,,0.0-14.0-0.2,0,1328,iaps/3181hp.jpg,8jvuk,,75046,,34,image-button-response,
11,sheppes,,,,0.0-14.0-1.2,,,iaps/3181hp.jpg,8jvuk,,80051,,35,image-keyboard-response,
11,sheppes,,,,0.0-14.0-2.2,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,81055,,36,html-keyboard-response,
11,sheppes,,,,0.0-14.0-0.3,1,2146,iaps/8231lp.jpg,8jvuk,,83204,,37,image-button-response,
11,sheppes,,,,0.0-14.0-1.3,,,iaps/8231lp.jpg,8jvuk,,88207,,38,image-keyboard-response,
11,sheppes,,,,0.0-14.0-2.3,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,89207,,39,html-keyboard-response,
11,sheppes,,,,0.0-15.0, ,48154,"<center><p>You will now see a series of pictures and choose between the two strategies, exactly as you did in the previous task. Again, you will first see a fixation cross. Please just attend to it. Then, a picture will flash on the screen for a very brief period of time. You will then <b>select which regulation strategy to use</b> using buttons at the bottom of the screen. As soon as you select the strategy, the same picture that you saw briefly will then appear for an extended time. As soon as you see it, start implementing the strategy that you selected.</p><p>There are no right or wrong answers, so do not be concerned about keeping a balance between your choices. You can choose whatever strategies you want during the task. This is completely your choice. Consider both strategies and pick the one that you think will make you feel less negative. Make your choice and start controlling your emotions when you see the image appear again. <b>It is important that you keep your eyes on the picture and not avert your gaze.</b></p><p>Press the spacebar to continue.</p></center>",8jvuk,,137363,,40,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.0,0,1332,iaps/3180h.JPG,8jvuk,,138698,,41,image-button-response,
11,sheppes,,,,0.0-16.0-1.0,,,iaps/3180h.JPG,8jvuk,,143701,,42,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.0,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,144703,,43,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.1,1,8283,iaps/2053h.JPG,8jvuk,,152988,,44,image-button-response,
11,sheppes,,,,0.0-16.0-1.1,,,iaps/2053h.JPG,8jvuk,,157990,,45,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.1,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,158991,,46,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.2,1,1951,iaps/3150h.JPG,8jvuk,,160945,,47,image-button-response,
11,sheppes,,,,0.0-16.0-1.2,,,iaps/3150h.JPG,8jvuk,,165948,,48,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.2,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,166948,,49,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.3,1,3335,iaps/9120l.JPG,8jvuk,,170285,,50,image-button-response,
11,sheppes,,,,0.0-16.0-1.3,,,iaps/9120l.JPG,8jvuk,,175289,,51,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.3,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,176290,,52,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.4,1,9651,iaps/6831h.jpg,8jvuk,,185943,,53,image-button-response,
11,sheppes,,,,0.0-16.0-1.4,,,iaps/6831h.jpg,8jvuk,,190945,,54,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.4,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,191947,,55,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.5,1,1904,iaps/6836l.jpg,8jvuk,,193852,,56,image-button-response,
11,sheppes,,,,0.0-16.0-1.5,,,iaps/6836l.jpg,8jvuk,,198855,,57,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.5,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,199856,,58,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.6,1,16584,iaps/6010l.JPG,8jvuk,,216443,,59,image-button-response,
11,sheppes,,,,0.0-16.0-1.6,,,iaps/6010l.JPG,8jvuk,,221445,,60,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.6,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,222447,,61,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.7,1,8499,iaps/2312l.jpg,8jvuk,,230948,,62,image-button-response,
11,sheppes,,,,0.0-16.0-1.7,,,iaps/2312l.jpg,8jvuk,,235951,,63,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.7,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,236952,,64,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.8,1,23761,iaps/3230h.JPG,8jvuk,,260715,,65,image-button-response,
11,sheppes,,,,0.0-16.0-1.8,,,iaps/3230h.JPG,8jvuk,,265718,,66,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.8,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,266719,,67,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.9,1,9938,iaps/1301l.jpg,8jvuk,,276658,,68,image-button-response,
11,sheppes,,,,0.0-16.0-1.9,,,iaps/1301l.jpg,8jvuk,,281661,,69,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.9,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,282662,,70,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.10,1,1428,iaps/9181h.jpg,8jvuk,,284092,,71,image-button-response,
11,sheppes,,,,0.0-16.0-1.10,,,iaps/9181h.jpg,8jvuk,,289094,,72,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.10,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,290095,,73,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.11,1,2181,iaps/7360l.JPG,8jvuk,,292277,,74,image-button-response,
11,sheppes,,,,0.0-16.0-1.11,,,iaps/7360l.JPG,8jvuk,,297279,,75,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.11,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,298280,,76,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.12,1,7248,iaps/9470l.jpg,8jvuk,,305530,,77,image-button-response,
11,sheppes,,,,0.0-16.0-1.12,,,iaps/9470l.jpg,8jvuk,,310532,,78,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.12,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,311533,,79,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.13,1,3452,iaps/9160l.JPG,8jvuk,,314986,,80,image-button-response,
11,sheppes,,,,0.0-16.0-1.13,,,iaps/9160l.JPG,8jvuk,,319989,,81,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.13,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,320990,,82,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.14,1,986,iaps/2691l.jpg,8jvuk,,321976,,83,image-button-response,
11,sheppes,,,,0.0-16.0-1.14,,,iaps/2691l.jpg,8jvuk,,326978,,84,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.14,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,327979,,85,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.15,1,1579,iaps/2278l.jpg,8jvuk,,329560,,86,image-button-response,
11,sheppes,,,,0.0-16.0-1.15,,,iaps/2278l.jpg,8jvuk,,334561,,87,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.15,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,335562,,88,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.16,1,19058,iaps/9420h.JPG,8jvuk,,354621,,89,image-button-response,
11,sheppes,,,,0.0-16.0-1.16,,,iaps/9420h.JPG,8jvuk,,359625,,90,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.16,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,360626,,91,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.17,1,36918,iaps/2490l.JPG,8jvuk,,397544,,92,image-button-response,
11,sheppes,,,,0.0-16.0-1.17,,,iaps/2490l.JPG,8jvuk,,402546,,93,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.17,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,403547,,94,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.18,1,908,iaps/3140h.JPG,8jvuk,,404456,,95,image-button-response,
11,sheppes,,,,0.0-16.0-1.18,,,iaps/3140h.JPG,8jvuk,,409737,,96,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.18,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,410738,,97,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.19,1,1697,iaps/3530h.JPG,8jvuk,,412436,,98,image-button-response,
11,sheppes,,,,0.0-16.0-1.19,,,iaps/3530h.JPG,8jvuk,,417439,,99,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.19,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,418440,,100,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.20,1,8369,iaps/9252h.jpg,8jvuk,,426810,,101,image-button-response,
11,sheppes,,,,0.0-16.0-1.20,,,iaps/9252h.jpg,8jvuk,,431814,,102,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.20,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,432815,,103,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.21,1,16120,iaps/6190l.JPG,8jvuk,,448937,,104,image-button-response,
11,sheppes,,,,0.0-16.0-1.21,,,iaps/6190l.JPG,8jvuk,,453940,,105,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.21,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,454942,,106,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.22,1,34580,iaps/2700l.JPG,8jvuk,,489524,,107,image-button-response,
11,sheppes,,,,0.0-16.0-1.22,,,iaps/2700l.JPG,8jvuk,,494528,,108,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.22,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,495529,,109,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.23,1,13870,iaps/3261h.jpg,8jvuk,,509402,,110,image-button-response,
11,sheppes,,,,0.0-16.0-1.23,,,iaps/3261h.jpg,8jvuk,,514405,,111,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.23,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,515406,,112,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.24,1,14174,iaps/3000h.JPG,8jvuk,,529583,,113,image-button-response,
11,sheppes,,,,0.0-16.0-1.24,,,iaps/3000h.JPG,8jvuk,,534584,,114,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.24,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,535585,,115,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.25,1,7974,iaps/9440l.JPG,8jvuk,,543561,,116,image-button-response,
11,sheppes,,,,0.0-16.0-1.25,,,iaps/9440l.JPG,8jvuk,,548564,,117,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.25,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,549564,,118,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.26,1,9850,iaps/9410h.JPG,8jvuk,,559416,,119,image-button-response,
11,sheppes,,,,0.0-16.0-1.26,,,iaps/9410h.JPG,8jvuk,,564418,,120,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.26,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,565418,,121,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.27,1,6245,iaps/2800h.JPG,8jvuk,,571667,,122,image-button-response,
11,sheppes,,,,0.0-16.0-1.27,,,iaps/2800h.JPG,8jvuk,,577060,,123,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.27,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,578060,,124,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.28,1,10203,iaps/3068h.jpg,8jvuk,,588265,,125,image-button-response,
11,sheppes,,,,0.0-16.0-1.28,,,iaps/3068h.jpg,8jvuk,,593267,,126,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.28,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,594268,,127,html-keyboard-response,
11,sheppes,,,,0.0-16.0-0.29,1,1867,iaps/9102l.JPG,8jvuk,,596138,,128,image-button-response,
11,sheppes,,,,0.0-16.0-1.29,,,iaps/9102l.JPG,8jvuk,,601141,,129,image-keyboard-response,
11,sheppes,,,,0.0-16.0-2.29,,,"<div style=""font-size:60px;"">+</div>",8jvuk,,602162,,130,html-keyboard-response,
11,sheppes,,,,0.0-17.0,"{'Age': '', 'Gender': ''}",1426,,8jvuk,,603594,,131,survey-text,
11,sheppes,,,,0.0-18.0,0,1444,<h1>End of the experiment.</h1><h2>Many thanks for participating!</h2><p>This experiment was about which emotion regulation strategies people chose to employ depending on how intense a negative experience (or image) is.</p><h1>Press continue to be redirected to Prolific. </h1>,8jvuk,,605040,,132,html-button-response,
